block,timestamp,staked,delegated
16432431,1674029723,18799951912894335103670889,3551492900034450589126415780
16443076,1674158171,18808637857647774026732059,3547906802363312211880668922
16453721,1674286583,18808637857647774026732059,3544130975432445670301977841
16464366,1674414887,18808637857647774026732059,3546331911908424785497184018
16475011,1674543287,18808637857647774026732059,3546338194696110747708208325
16485656,1674671687,18808637857647774026732059,3569682195952217041743517786
16496301,1674800123,18808637857647774026732059,3575355161722585729961511498
16506946,1674928559,18809297023583573592389828,3566663104279843097133210517
16517591,1675056983,18809297023583573592389828,3565760214931616219832570081
16528236,1675185323,18823796789439885405144170,3572625272157446093921287928
16538881,1675313843,18823796789439885405144170,3572236294209705349610313557
16549526,1675442603,19250714146384267658998781,3579614511346041075212205640
16560171,1675571003,19250714146384267658998781,3580209182007626829158961131
16570816,1675699403,19250716146384267658998781,3585623027279359295691857552
16581461,1675827935,19250716146384267658998781,3590160927115266548439343646
16592106,1675956695,19250716146384267658998781,3588512869649249496559626871
16602751,1676085071,19250716146384267658998781,3581169068645750531859834005
16613396,1676213531,19250716146384267658998781,3593366048292460020750693439
16624041,1676342039,19250716146384267658998781,3597587757343322667811390804
16634686,1676470679,19252780740688967589541836,3598021176422136157681422934
16645331,1676599247,19252780740688967589541836,3601248396723546901020167727
16655976,1676728883,19252780740688967589541836,3606483900512241399862292409
16666621,1676858051,19252780740688967589541836,3604716920820093230330963678
16677266,1676987219,19252780740688967589541836,3603810011940945076505915200
16687911,1677116651,19252780740688967589541836,3605313230761106778685111718
16698556,1677246143,19252780740688967589541836,3605665578647600725953470778
16709201,1677375587,19252780740688967589541836,3608770318895675685130562831
16719846,1677504767,19252780740688967589541836,3608506530997317500117693395
16730491,1677633911,19267861724056906592925018,3612787811629281599854172376
16741136,1677763223,19267861724056906592925018,3616271748426694461074001414
16751781,1677892799,19267861724056906592925018,3651791276599496140826746892
16762426,1678022087,19267861724056906592925018,3643357661851944507169896329
16773071,1678151375,19267861724056906592925018,3594817745613386113638745905
